"","patient","polar_ 1","polar_ 2","polar_ 3","polar_ 4","polar_ 5","polar_ 6","polar_ 7","polar_ 8","polar_ 9","polar_ 10","polar_ 11","polar_ 12","polar_ 13","polar_ 14","polar_ 15","polar_ 16","polar_ 17","polar_ 18","polar_ 19","polar_ 20","polar_ 21","polar_ 22","polar_ 23","polar_ 24","polar_ 25","polar_ 26","polar_ 27","polar_ 28","polar_ 29","polar_ 30","polar_ 31","polar_ 32","polar_ 33","polar_ 34","polar_ 35","polar_ 36","polar_ 37","polar_ 38","polar_ 39","polar_ 40","polar_ 41","polar_ 42","polar_ 43","polar_ 44","polar_ 45","polar_ 46","polar_ 47","polar_ 48","polar_ 49","polar_ 50","polar_ 51","polar_ 52","polar_ 53","polar_ 54","polar_ 55","polar_ 56","polar_ 57","polar_ 58","polar_ 59","polar_ 60","polar_ 61","polar_ 62","polar_ 63","polar_ 64","polar_ 65","polar_ 66","polar_ 67","polar_ 68","polar_ 69","polar_ 70","polar_ 71","polar_ 72","polar_ 73","polar_ 74","polar_ 75","polar_ 76","polar_ 77","polar_ 78","polar_ 79","polar_ 80","polar_ 81","polar_ 82"
"141",141,22,26,34,46,55,70,102,107,124,195,243,302,314,380,419,523,357,666,500,672,617,561,817,1038,681,852,952,826,1185,1805,1093,1216,1770,1448,1491,1453,1890,1903,1581,3018,3093,3045,2193,3172,3024,3120,3714,3554,2482,3733,2707,5068,4159,5522,4309,5982,3639,6642,6837,5412,7335,4088,7049,5334,5886,4409,8186,6157,7870,8384,5736,8740,6985,10327,7788,7918,8322,7181,7722,8511,10351,9070
"142",142,21,25,32,46,47,64,69,101,155,172,169,211,260,320,392,520,445,640,460,645,647,683,701,1001,777,1182,1022,1501,1660,1472,1215,1373,1854,1255,1409,1510,2429,1890,2887,2442,1763,2309,2319,3234,4065,3150,2295,2665,3443,4145,3932,3213,4532,5717,4987,3827,5217,5091,5100,4076,4328,6558,4215,7699,6168,4775,7567,8888,4877,9063,7787,10203,6646,8477,5744,5921,7825,8798,10900,7780,9352,7507
"143",143,21,25,35,37,65,82,81,92,120,151,208,284,200,298,381,318,402,598,460,487,521,678,986,801,1257,1300,1316,1519,1595,1182,1397,2035,1701,2087,1491,2047,2377,2368,2770,1903,2701,2406,2865,2396,2636,3705,2506,3506,3988,4465,4768,3952,3869,5308,4264,4072,4387,3706,6538,4851,4557,6632,7856,6006,5416,6867,4570,8249,5049,9485,9616,6774,8922,7206,10985,5802,10401,7701,10198,9306,10778,12812
"144",144,22,28,30,45,59,77,104,95,172,150,228,301,324,243,433,529,393,446,599,571,554,548,913,1062,927,705,1319,986,947,1305,1884,1097,1485,1757,1993,1970,2183,1925,2413,2101,2293,2045,3385,3368,2071,2979,4267,3437,4405,2970,4891,4999,4633,4206,4789,3321,5648,4403,5580,6103,3840,4528,5733,6117,4412,6607,8038,4710,7005,6526,8688,9253,9576,8624,6107,8990,8252,8550,7293,11942,9087,8664
"145",145,21,27,32,46,63,65,78,104,151,187,236,202,252,222,344,333,492,668,539,760,631,933,856,743,1137,1015,1004,1157,1377,987,1693,1310,1402,2328,1764,2036,2617,2512,2055,2572,2271,3311,2588,2484,2305,3829,4296,4618,3941,2599,3780,2975,5190,4916,3574,3244,4990,5560,5544,6533,5328,5287,6709,4934,5127,6171,7548,5790,8213,6573,9709,5578,9784,10770,5858,8203,11569,8372,7530,9056,9632,8899
"146",146,22,27,36,46,47,67,107,113,154,143,249,297,266,235,426,486,552,646,544,571,464,650,921,948,1117,1112,1396,848,1119,1207,1558,1788,1913,1716,1454,2431,2669,1665,1899,3062,2750,2726,2239,3365,2866,3379,2943,4529,2818,2670,3438,3365,3940,4019,4731,4488,6265,4800,5055,4278,3993,6774,6089,6400,7025,6292,6499,5197,7325,5430,9510,6214,7227,9253,10634,6884,8612,8968,7016,10920,7597,8729
"147",147,22,26,36,52,55,64,99,105,129,169,195,220,331,309,323,478,339,484,477,694,506,612,601,640,867,1150,1144,1409,1232,977,1686,1246,1213,1308,2362,1702,1829,2893,3002,1977,1721,2082,3370,3537,3925,2481,3595,4043,3886,3086,4555,3288,5168,3867,3560,3607,4509,6053,5822,5929,5409,4270,6501,7845,4410,8260,5900,7684,5677,9299,7011,6761,9160,8874,5725,6110,10784,8169,7442,10396,10279,13108
"148",148,22,26,32,49,47,64,112,134,128,164,228,252,261,232,328,496,338,436,543,701,674,565,1076,770,942,1245,1232,1012,1260,1051,1820,1805,2142,1503,2180,1595,2060,2747,2057,2592,2854,3253,2158,2070,2455,2463,4367,4326,3155,2640,4579,3983,3780,3754,4031,5221,6492,5335,6027,7047,4488,5551,6852,6796,8125,4902,6242,6820,8360,5473,6425,5238,6868,6654,8453,8040,6549,8859,6685,10863,8630,12808
"149",149,21,26,32,36,57,70,81,135,120,142,146,279,300,232,390,411,542,591,731,750,805,893,648,627,1073,996,1216,904,1526,1059,1071,1839,1237,1739,1284,2224,2081,2107,2301,2701,2234,2503,2497,2772,2761,3516,3614,4139,3396,4571,4564,3332,2898,3572,4123,3865,5778,6238,4175,4913,7017,7189,4419,7946,5905,5974,7089,4712,5065,5719,7365,8310,8005,6304,11140,11437,6241,8679,6285,11415,9633,9709
"150",150,21,24,38,47,51,59,107,133,162,136,198,225,315,412,372,425,542,539,647,466,862,930,778,1067,849,1030,1356,850,883,1304,1767,1208,1414,1691,1804,1645,2601,2699,2759,2940,2517,2152,3493,3541,2629,3107,2951,4372,4311,3861,3921,4757,5325,5752,5971,3761,5721,5275,5638,3621,4181,6084,6206,7937,4486,8212,8709,6347,6983,9136,5579,9266,10428,10926,9915,11059,9387,10059,9126,11317,12688,10086
"151",151,22,24,37,43,66,81,96,99,154,162,149,302,271,386,327,276,376,425,500,715,854,507,892,695,1018,884,1420,1324,926,1226,1106,1587,1773,2294,1771,2493,1650,2889,1546,2678,1897,2295,3632,2717,3975,2588,3578,3082,3238,4825,4267,4077,3491,4228,4474,5212,6319,6617,4128,3894,6655,5777,4205,7449,7802,5637,4577,4668,8776,6137,10008,10174,9380,7544,10319,5957,6163,9389,11869,11995,9799,9876
"152",152,21,26,31,46,63,64,87,139,112,144,159,267,262,312,422,500,449,620,611,774,607,704,993,872,984,1063,1096,1323,958,1075,1118,1692,1304,1611,1497,2550,1705,1532,2353,2083,1914,2541,3561,2125,3538,3414,3052,3776,4462,3043,3766,3632,5348,3333,4483,3768,4082,4323,4417,6398,3851,5363,4727,7142,6854,6229,7329,7056,8494,8287,7693,9145,6435,7988,7876,7612,9308,10810,8588,7023,10549,10451
"153",153,21,28,37,42,53,86,72,98,172,120,205,250,282,313,398,518,413,546,533,604,743,824,560,808,1248,1340,1026,904,1409,1272,1789,1769,1317,2087,1573,2538,1598,2681,2583,2076,2974,3176,3310,2005,3883,2155,2462,3529,4564,4748,3779,3206,3961,5214,4610,3845,5052,3735,5993,6053,4290,4748,6212,7164,4676,7377,6477,7315,6504,5789,7524,6639,9603,8497,8397,6978,10198,9068,9322,11272,8398,10559
"154",154,21,26,34,50,48,84,78,148,181,187,252,194,323,322,274,443,482,498,547,453,472,722,878,1049,1141,812,794,866,1029,1105,1343,1220,1688,1427,1396,1571,2564,2691,1742,3123,2440,2537,3386,3390,2640,3542,3482,3667,3286,4384,3808,2968,4247,3920,3105,4465,4898,5399,3965,4260,6461,4901,4951,6636,7067,5683,8232,7089,5009,9757,9394,6333,9024,6635,10039,8902,11123,7696,7534,9661,10681,8269
"155",155,21,25,31,39,69,74,85,144,167,213,157,237,285,397,331,343,329,412,547,433,887,669,1036,694,704,1364,857,1179,916,1090,1775,1518,2194,2154,2011,1746,1399,1702,2417,2671,2297,2582,1998,3367,2335,4024,3148,4371,3923,2922,2958,3589,3956,5214,4532,5843,4839,3413,6332,6850,5089,5978,7741,6019,7557,7488,6752,5752,8249,9518,5393,7367,5513,6895,6022,10435,9349,7278,7069,7089,12029,8837
"156",156,22,27,30,40,64,75,106,130,159,212,240,194,339,314,437,367,553,420,639,717,649,961,906,793,659,1008,917,972,1263,1574,1611,1275,1750,2149,1727,1991,2168,2211,2041,1951,1716,2645,3060,1997,3624,3229,2556,2917,4735,3200,3835,5262,5466,3794,6003,3336,3605,3823,6512,3966,5421,7018,4936,4708,7272,6727,6413,6873,7530,8673,9972,9967,8239,10244,7795,6902,7655,7144,12284,9396,7303,8321
"157",157,22,26,33,40,64,90,112,86,134,133,248,245,288,242,247,410,458,651,582,479,637,631,1069,1038,1079,910,986,1375,1119,1217,986,1306,1723,2060,1798,2552,2283,1882,2587,1880,2838,3031,2531,3575,2591,3481,2449,2461,3162,3207,3717,3395,4063,3818,3627,3431,6190,5157,5230,6237,5756,6450,6597,5425,5851,4559,6051,7193,8407,5461,6862,10127,7093,9547,9377,7683,6279,8418,10971,8157,10025,12342
"158",158,22,26,38,48,49,64,82,110,178,207,190,272,342,356,321,421,502,609,694,622,544,902,784,1161,856,1269,1432,947,970,999,1707,1747,1626,1396,2334,1517,1607,2002,2029,2312,1996,2557,3262,3155,2437,2845,3981,3555,3510,3942,3312,3246,4242,5767,4283,4126,3409,4021,6644,3740,4830,6171,6603,5823,5754,7738,8979,5835,5836,8920,5492,6178,6099,7002,6925,7078,10047,8462,6901,12773,8725,11598
"159",159,22,26,32,47,48,77,111,132,134,139,208,185,217,311,308,326,513,609,651,671,818,588,685,871,1156,1351,1313,924,903,1354,1890,1505,1875,1251,1823,1748,1687,2450,2918,2804,1948,3021,2688,2249,3386,2488,3878,2507,3522,2731,5218,2760,3657,5053,4355,3830,5218,5312,5446,4321,6746,5605,5370,4458,7516,7961,8120,4704,6703,5296,8671,7374,7912,8421,11038,10782,9790,6236,6667,12243,8664,9290
"160",160,22,25,30,47,69,56,109,93,124,158,198,292,270,336,409,489,489,430,399,817,843,579,750,1024,789,1230,1364,1529,1246,1048,1029,1976,1936,1210,1991,1621,2735,2668,2751,2083,3004,2077,3549,2741,3072,3709,4013,3821,2537,3683,3246,3293,4108,5220,4177,6184,4652,3648,5870,6529,4633,4886,5697,7688,6676,7402,8514,7576,4826,5833,5319,10107,8617,5945,6946,10208,7021,8890,6668,10403,12183,10102
"161",161,21,25,30,46,54,63,76,143,115,213,151,254,331,256,335,491,580,355,439,583,881,786,1077,1041,1083,1296,940,1138,1169,1124,1646,1457,1272,1564,2192,2559,1567,2231,2277,2900,2654,2390,2903,3181,2393,3906,2778,3244,3988,2528,3698,5425,4634,4769,3525,5463,5815,5735,4837,5386,4933,5213,7138,7716,7913,6243,4670,7424,5928,8076,5580,9383,8689,10016,5830,8695,11547,10434,11360,10184,12748,7100
"162",162,21,27,30,45,66,91,69,123,170,185,167,288,316,329,254,457,441,380,609,575,837,519,714,786,909,1025,1306,988,1427,1617,1839,2040,1908,2330,2233,1494,2005,2231,1623,2787,2866,3325,2934,2325,3456,3580,2244,4306,3951,3222,3294,3234,4735,3966,5170,5602,3474,3466,4923,6395,6647,5231,6776,6388,7046,6872,5795,7787,4932,9212,9457,10148,10630,8412,8573,7278,9180,12106,11332,9144,8454,7603
"163",163,21,24,29,37,49,64,111,117,154,148,181,232,347,301,295,516,383,480,655,687,704,897,1070,765,1036,960,1188,1089,1043,1116,1634,1422,2093,2146,1875,1422,2273,2117,1584,3168,3185,2547,3605,2029,3096,3571,2762,3147,2710,4663,3262,3120,3218,5034,3695,4952,6441,5068,6590,4760,7223,5464,6466,5176,7342,6033,7868,8054,6431,6571,7060,5205,8498,8647,10169,9903,7371,10019,8641,10324,10277,12623
"164",164,22,27,38,36,65,87,78,118,166,168,259,291,247,255,340,351,539,491,422,716,671,548,663,830,1074,748,931,1418,1263,1312,1536,1722,2127,1553,2403,1316,1780,1688,2849,1843,1899,2566,2733,2134,2991,2421,3542,4588,3474,4702,4281,4570,4615,4750,4320,4847,3402,3673,3766,3932,7232,6693,5802,5450,5342,8279,7020,9096,5610,6394,8828,9225,8216,7200,5733,6660,7700,8862,6932,12421,9142,9218
"165",165,21,25,36,39,55,69,86,105,131,147,177,207,348,363,391,490,593,575,552,580,551,618,1073,875,771,1301,1067,1494,1002,1272,1802,1698,2170,2115,2154,1822,2533,2864,2401,2966,2531,2329,2543,3113,2492,2494,3141,3482,4678,2756,4510,4930,4478,5609,5373,4950,4513,3953,5071,6662,6311,7283,7922,7020,6908,7851,7982,8552,9355,5789,10076,10386,5700,7871,9844,8986,7153,7766,8816,11169,11658,10315
"166",166,21,26,38,41,61,88,112,130,122,147,252,276,248,333,466,321,430,350,534,709,780,794,698,871,701,1347,775,1182,1100,1373,1737,1743,1533,2314,2047,1972,1840,2453,1691,2401,3376,2209,2542,2954,2143,2373,2613,3940,3816,4730,4901,5179,2946,3164,3664,4219,4967,4102,4084,5546,7216,6909,6399,5609,7621,5080,7077,8736,7394,7555,6777,5759,7114,8428,8374,10150,10755,10960,8679,10061,8628,7587
"167",167,22,24,36,39,56,85,103,132,147,168,158,234,210,252,252,465,558,667,390,477,475,790,747,624,1266,1272,1330,1398,954,1669,1221,1589,1298,1286,1931,2223,2263,2013,1839,3117,2429,2254,2252,2978,3610,3382,3205,3367,3068,4445,4359,5416,5028,4043,4539,3388,5317,4099,6982,4014,6593,5634,6714,7205,6762,5437,4541,5490,5696,7986,5132,6361,9500,10005,8310,6776,10357,10833,7036,6492,11369,12352
"168",168,21,24,30,39,70,65,92,85,165,131,236,206,213,267,444,437,331,373,632,749,738,891,821,982,1028,1351,906,821,1558,1801,1882,1095,1433,1350,2049,1549,2316,1910,2065,3201,3249,1971,2145,2319,2381,3331,2575,3854,3485,4063,4297,4017,3597,4235,3296,4629,5841,6176,6817,4151,6575,5849,7143,7301,4342,8093,7247,7215,8938,6379,7352,10033,9706,6467,8069,6538,6271,10818,11779,9678,8254,11428
"169",169,21,24,35,51,67,92,100,120,182,158,165,166,311,220,399,444,564,367,459,802,877,868,997,700,927,863,1030,805,1395,1101,1473,1910,2163,1232,1283,2250,1816,1554,1852,3212,3162,2037,2584,3389,3155,2444,3559,2736,2976,3705,4808,5152,2850,4258,5268,4231,3950,5030,4413,3750,5968,6265,6741,6799,7090,8401,7871,8606,7962,8412,7173,8182,10091,7448,7790,8763,10171,9968,12034,8177,10323,8313
"170",170,22,27,37,51,61,64,83,127,124,147,227,208,299,243,365,452,522,438,667,716,513,531,571,1010,1029,766,1226,1217,994,1196,1260,1053,1611,2327,2409,1762,1449,2445,2997,2367,3033,2051,1908,3835,2884,4061,2523,4388,2433,3781,5039,3803,4480,3614,3653,5535,6415,6339,4988,5432,7196,5864,6321,7703,7971,6633,7065,9170,5865,5188,8125,7050,7286,9937,9630,10516,10578,8027,6938,12443,12087,10293
"171",171,21,28,34,36,69,87,105,122,154,149,234,178,247,251,389,468,522,413,464,625,637,636,944,596,910,964,1136,1502,1663,976,1515,2032,1249,2105,1424,1593,1622,1988,2492,2445,3074,2423,2678,2210,3526,2221,2736,2859,2906,2932,4791,5062,4535,3589,4507,3256,3705,6280,5389,3902,4182,6018,7328,7638,5440,8450,8580,7788,7791,7954,7682,7826,7156,9860,9493,6589,8971,12016,10711,12393,11298,7719
"172",172,21,25,34,49,69,72,118,136,145,165,261,277,335,395,446,340,396,512,588,484,576,624,787,954,796,889,752,1132,1343,1531,1252,1855,1916,1717,2242,1838,1514,2368,1921,2503,2901,3217,3626,2186,2303,3293,2357,4152,4581,4793,3083,4791,5134,5102,4472,4420,4898,6006,4352,6090,4940,7079,6626,5073,4739,8004,5394,8870,5930,8432,7577,9358,8400,8627,6806,9248,11751,9200,10722,6672,11903,12438
"173",173,22,25,38,50,61,68,91,132,174,210,244,235,287,332,433,433,423,614,718,687,827,729,594,606,1170,1261,1163,1349,1330,1715,1324,1646,1251,1991,2140,1661,1570,2315,2841,2586,2251,1824,2432,1996,3648,2258,3700,3632,4653,2789,2910,3252,4087,3266,5624,6038,3974,4580,5676,6178,4501,4283,4816,4298,8391,6800,7724,5790,7912,7444,8089,8611,7756,10338,7278,7714,10938,7390,9941,11236,9951,9444
"174",174,21,26,29,36,59,57,70,117,181,186,226,229,324,274,323,294,406,381,511,510,778,947,826,968,1045,1295,1427,1398,1551,1486,1846,1085,2093,1464,1781,1911,1555,2557,2006,1975,2826,3000,2487,2196,3202,3021,3879,2874,3815,4459,4677,4105,4291,5554,5601,4747,5323,4192,6319,6208,4651,7191,7062,6200,4929,8042,5897,6253,6062,8353,8561,10244,10597,10143,5811,10166,8183,9957,9413,11908,10894,11833
"175",175,21,25,36,43,68,62,69,93,118,146,181,176,342,386,286,342,324,641,390,488,567,721,719,609,1246,1322,1423,890,1697,1816,1570,1080,1770,1774,2319,2324,2538,2048,2175,3164,2678,3385,2700,3683,2462,3567,3059,3839,4789,4901,3694,3296,4603,3046,5841,5104,4932,4138,6363,5865,5815,7102,4953,5176,7816,6599,6247,7746,6005,6892,6166,7392,7500,6398,6674,7304,6492,6262,7177,10648,11859,8647
"176",176,22,26,38,42,59,72,79,117,171,179,257,297,243,367,386,297,412,431,568,521,659,738,988,961,727,961,1008,1517,1290,1739,1080,1738,1312,2327,1550,1984,2170,2521,1835,3010,3282,2607,2376,1956,2395,2868,3728,3799,2723,3243,4886,3616,3881,4142,4499,3456,5958,5243,3622,6200,4713,3910,7708,4450,8431,7146,8318,7272,5517,7044,9387,6024,10521,6735,8409,9777,10940,11757,12004,12756,11784,8342
"177",177,22,28,35,44,45,85,75,121,105,197,246,211,242,277,361,383,544,480,545,654,481,534,1006,1134,726,1272,996,1535,1542,1559,1730,1972,1714,2121,1887,1636,2550,2525,2738,3122,2072,2447,1895,2083,2795,3252,3941,2918,3680,4952,3682,3318,3764,4067,6005,3422,6380,3517,5291,4099,7267,7400,4015,4520,7118,6457,5132,5943,9024,7730,7034,10013,7488,7208,9151,6373,7497,10811,8211,10361,12602,10101
"178",178,22,26,31,51,60,63,70,114,126,163,199,257,194,334,427,302,478,584,429,684,822,580,1051,636,839,1276,1387,1250,1028,1299,1589,1084,2191,1665,2343,2445,2689,2669,1967,1930,1804,2905,2450,3517,3485,2934,3430,3616,2523,4485,2802,4750,3750,4982,4182,5591,3705,5252,4445,6046,6481,7059,5025,4158,5665,5578,6725,7655,8355,9783,5993,5225,6414,9126,9960,7882,10007,11346,9302,11640,10138,12240
"179",179,22,27,37,44,55,59,89,91,129,161,254,257,201,405,447,460,356,398,465,696,594,787,730,839,1028,1174,878,1031,1153,1254,1317,1613,1797,2008,1628,2575,2688,2549,2004,2929,2763,2320,3342,3873,2996,3546,3604,4486,2677,4450,4646,3926,5117,5195,3321,4374,3652,4383,5035,5348,4299,5275,5632,6754,5327,4782,6004,7947,5901,5714,9647,6741,7143,10595,9397,6576,6276,9226,10182,6653,11735,6745
"180",180,21,26,29,48,60,87,69,114,147,213,207,221,190,345,382,353,493,524,399,566,878,957,941,796,1105,752,1202,887,1389,1745,1330,1828,1423,1684,1673,2503,2319,1789,2432,3156,3049,2131,2270,2004,3813,3398,3622,3777,4204,2608,3494,4010,3073,4508,3824,5546,5000,3680,4432,6406,5116,4860,6369,5187,7820,6202,7252,6303,7022,8676,5516,7289,8950,8539,7450,8405,5976,6794,11718,8090,8715,6947
"181",181,22,28,32,52,68,86,74,136,103,210,176,268,203,360,262,465,428,395,528,501,475,754,596,684,782,751,1285,1474,1573,1448,1260,1898,1385,1371,2175,2199,1845,2241,2714,1928,2307,1890,2582,3559,3135,4205,4417,3856,2853,4225,4960,4528,3422,4329,4611,4356,6020,4126,3870,6061,5273,6930,6893,7402,7666,8732,6648,8291,5906,8231,6890,8242,7289,6334,7373,8456,10537,10594,12437,11534,12069,12863
"182",182,21,28,34,46,50,57,82,107,168,193,207,212,223,392,370,378,321,622,736,548,584,763,945,956,1234,763,1212,1424,1528,1721,1608,1295,1905,2112,1806,2568,1726,1696,2722,2170,2234,2100,2588,3542,2704,3015,2893,4376,2524,4569,4478,5145,5029,5641,6058,4688,4995,6519,3883,5155,4907,5839,7406,7158,4384,5461,5268,6443,7263,7483,6799,5495,9806,6843,6414,7246,11044,9391,8461,9517,13136,12552
"183",183,21,27,32,36,69,70,96,88,175,183,189,225,293,367,338,343,313,532,516,543,763,745,551,650,743,1323,1105,1241,1426,1080,1002,1736,1761,1176,2368,1342,1914,1888,2002,2923,2353,2821,3412,3153,3906,2891,3901,3827,3987,4768,4838,3520,3490,5661,4210,4457,5816,6729,4743,4846,7429,5042,7606,6589,5936,6365,7353,5156,8296,6252,5522,5704,5878,10695,11052,11541,8059,7724,9324,8547,8608,10457
"184",184,21,28,33,42,46,82,108,116,152,178,166,178,250,235,257,354,350,667,697,736,768,867,845,896,1227,998,1180,1271,1672,1404,1709,1846,1665,2014,2100,2463,2096,1827,1936,2215,2630,1945,2568,3849,2158,2983,2388,3144,3145,5014,3053,4706,3213,4876,4489,5794,5997,3833,6687,4941,4739,6490,4550,6042,8300,7919,5349,7176,6177,8704,7628,9651,6739,6170,10217,8383,7744,9177,9629,9290,9378,9122
"185",185,21,25,34,49,54,91,83,140,107,191,197,227,325,393,447,318,479,593,400,573,681,653,564,1093,871,1100,849,1253,1043,1615,1056,1967,1269,1445,2278,2067,2442,1926,1799,3138,2137,2419,3678,2361,2489,2415,4432,3206,3627,3833,3387,4721,3944,2988,4138,5799,4760,5489,3660,5961,7206,4855,5884,5715,4255,5631,7393,4697,8771,7886,9748,9611,9652,6117,10629,8331,9762,12031,11803,12281,12587,9215
"186",186,21,25,31,46,62,86,100,87,172,189,201,241,348,257,259,490,416,384,527,693,833,744,717,1141,903,1114,1442,835,1017,1374,1802,1390,1353,2019,2290,2543,2695,2772,2483,1911,2846,2489,2496,3105,3989,2443,2560,3506,4425,4615,4767,3463,3693,3645,4155,3926,6037,3724,5960,6921,6088,5537,5690,5867,5594,7561,5167,7753,8226,5603,8587,10184,7904,5793,8020,9699,7907,7430,6748,6977,8853,7336
"187",187,22,27,31,36,52,56,115,96,162,124,233,227,309,218,338,476,420,479,595,583,803,608,720,689,656,1288,1014,1163,1272,1480,1460,1733,1988,2127,1883,2117,2316,2375,3058,2543,2221,3414,3463,3524,3080,2997,3842,3261,4520,4052,4749,5193,3029,5515,5273,5832,5233,4296,4520,4384,3893,4380,5929,5365,5240,4976,8231,6977,9160,7289,9027,6892,6360,9113,8142,9568,10609,9897,10622,9008,8254,12961
"188",188,21,27,34,41,68,92,70,135,117,214,246,217,327,292,428,301,591,488,735,639,893,933,675,646,1216,786,1270,1369,1499,1541,1474,1048,1204,1546,2364,1759,2272,2767,2455,2820,2386,3351,3518,2488,2133,3672,2243,3373,2708,4640,4020,4505,5148,4563,4718,4803,5861,4409,4529,6083,5866,5997,5002,4567,7358,6053,4710,7171,7985,9303,6443,6499,6830,10626,9171,9618,11861,10971,12003,8098,10554,9159
"189",189,22,25,35,41,46,66,83,127,126,169,151,275,193,282,310,388,447,498,711,571,543,729,817,803,997,1305,1242,805,1095,1026,1724,1571,1307,1371,2032,1497,2112,2562,2962,1842,2663,2689,2018,3477,3164,3603,4360,3470,2592,4651,3420,3784,3389,3302,5216,4575,4819,3817,5629,5877,7001,4640,5238,5497,6681,5005,8687,9038,5559,5598,5683,6738,6687,9760,9282,8372,10346,6544,7919,8591,6951,11933
"190",190,21,24,29,36,64,83,79,140,141,198,168,275,265,347,268,368,481,525,408,586,570,847,678,1105,1233,915,897,857,1689,1628,1244,1333,1214,1909,1935,2344,2111,2435,1870,2948,3152,3504,2450,1957,3545,2296,3372,4426,2550,3703,3914,5298,3092,3722,4429,3831,4769,4448,4985,5185,6686,6875,4666,7172,7455,5565,5580,8418,7100,8896,8012,9150,5949,10103,6861,5856,10782,6268,12402,8130,11542,7148
"191",191,21,28,33,39,68,66,96,99,181,167,223,303,206,257,263,464,496,425,425,653,518,575,761,848,876,1192,783,901,1662,1733,1575,1520,1177,1502,2178,2036,2492,1787,1648,2212,2548,2579,2644,3424,2529,3762,2702,3521,4454,3173,3789,4434,3253,5596,3600,4360,4638,5552,5497,5117,4424,7232,5011,6160,7916,4476,5375,4964,6198,9548,5142,5322,8508,5662,7133,11135,9338,10265,7737,8426,11337,11979
"192",192,22,26,35,50,57,62,97,130,149,211,181,209,301,358,357,398,560,583,726,784,622,639,669,796,663,802,1461,1077,1045,948,1596,2034,1516,2062,1848,1833,2390,2579,2843,3135,1737,2413,1913,3742,3383,3230,3815,2843,4174,2840,3068,3976,5063,4154,3486,3401,3903,3420,3519,3953,6158,6002,6656,4455,6004,8583,8958,8619,9291,7881,6493,7457,8201,10215,11110,7946,10765,7749,11116,8868,12884,11065
"193",193,21,27,31,36,63,90,72,134,170,136,146,198,199,281,454,429,461,406,567,795,468,789,693,1163,822,1094,1421,984,1006,1647,1170,1468,1786,1433,2264,2156,2518,2401,3060,3106,2196,2844,2930,3189,3215,4109,2575,3497,3488,4383,3243,3640,5209,5592,3263,3688,6513,5058,5330,4816,6813,4964,4182,5713,6664,5702,8505,6369,8713,5909,9289,10270,8070,9568,7840,11352,6218,9008,11110,12201,8946,9736
"194",194,22,28,37,42,47,69,93,118,156,174,214,251,237,221,299,440,582,486,418,540,720,981,665,1057,675,1320,1195,869,1184,1064,1909,1377,1708,2168,2332,2486,2590,2382,1884,1929,2226,2945,2390,2048,3777,4225,3386,3189,4749,4607,4309,3205,5241,4068,4455,3170,4573,6703,4915,7045,6082,7322,5881,7327,5159,6808,6611,5201,7835,5108,8937,8846,5542,6555,11193,11163,9695,6198,8358,11611,9483,12076
"195",195,22,25,30,49,68,61,103,143,135,133,222,165,334,223,327,369,320,382,681,647,799,578,1035,975,711,897,938,1354,876,1592,1048,1455,2032,1930,1317,1524,1995,2745,2974,1687,2689,3176,3149,2938,3716,3668,3026,2376,3861,3389,3681,3386,5143,5385,3885,3411,5377,3581,5465,4837,6266,7295,6903,8139,6072,5929,8814,5245,9253,7728,8753,9923,7569,10789,8751,7033,7727,11291,8845,10261,7873,7006
"196",196,22,28,30,44,61,73,102,104,150,188,251,263,339,314,400,406,460,535,645,739,565,793,649,1037,1104,1146,1262,937,1084,951,1064,1579,2002,1528,1655,1704,1662,2048,2338,2342,2350,2792,2750,2136,4022,2770,3378,3652,2448,4236,3207,4520,3496,3334,3884,5273,3630,5450,5955,4628,6288,6836,6701,4725,8446,7154,6190,7296,6889,5152,8562,7585,9378,8462,8452,7114,11815,9562,8414,11727,11565,7851
"197",197,21,27,31,44,66,75,92,147,171,189,176,212,201,411,305,493,415,575,656,639,689,570,803,1155,739,720,1459,1015,1225,1786,1437,1098,1496,1607,1634,2393,2106,2854,2979,2838,2017,2556,3035,3346,2690,2698,2722,2876,2690,3805,3039,5325,5243,4346,5692,5242,5709,3735,4185,4433,5799,5896,5536,6629,5123,8187,8223,8017,6247,5729,9725,10093,5602,7684,9605,6882,8502,7751,9181,10778,8762,9025
"198",198,22,28,33,49,46,68,103,112,106,164,182,209,302,278,412,417,583,426,601,591,599,801,796,686,927,1287,1439,1193,1526,1081,989,1877,1846,1894,1414,1393,2551,2411,2574,2373,3262,3354,2799,3022,2874,3382,4084,4560,2640,3716,3503,4540,3469,4380,3488,4829,5289,4473,6464,5436,5387,4193,7729,7293,5107,6903,6228,6421,6669,7576,5062,8879,8114,6745,6017,10025,9703,9960,9775,8649,7746,12037
"199",199,21,27,38,52,54,82,99,94,124,214,145,284,307,350,321,286,533,600,684,683,503,697,873,889,1011,1272,1120,1271,1242,1501,1022,1112,1475,1853,1470,1751,1834,2868,1574,2584,3271,1861,2783,2323,2435,4178,2506,3731,3674,4881,2688,5097,4135,4780,5795,3734,6400,6319,5108,5293,4832,6404,6616,7249,6397,5087,8638,6585,5941,5499,6432,9606,7074,7701,7080,8951,9633,10162,11436,12359,9019,12691
